content,is_english
Delay delivery of food,True
"I've been using both Foodpanda and Foodi for a while now, and one thing that really stands out is the price difference between the two—even when ordering the exact same dish from the same restaurant. While both apps offer a decent delivery experience and user interface, Foodi clearly gives better value for money. Foodpanda consistently charges more.",True
How am I supposed to give a review? You don't deliver to my address 😑😑😑,True
"Really disappointed with the app. It shows that ""There are no restaurants in your area""",True
worst food delivery app ever. The rider doesn't reach even after 1.30 hours. and the service centre doesn't even reply to your chat.,True
"Maybe the worst delivery app. Ordered food for breakfast. No response after half an hour. Rider doesn’t respond, live support doesn’t respond. Uninstalling this garbage. What would I do with breakfast if it arrives at lunch time!! NOT RECOMMENDED AT ALL. WORST EXPERIENCE!!!",True
"my biggest gripe with this app is the late deliveries, 2 days in a row it has taken more than 2 hours for me to get my food, please be better",True
In recent time the app has been updated greatly and now you can order food in less price then foodpanda,True
"🚨 Food Rescue! 45% OFF on this rescued meal— got this fake notification at least 50 times after installing this app today. I've clicked on a few of them, found nothing there. what's the meaning of this kind of annoying activity? you guys are offering a few exciting offers, people are installing your app. but this kind of activities irritates people, leading to uninstalling. please stop this nonsense.",True
Delivery fee too high,True
bad experience.. live chat service poor..poor mentality,True
I'm giving this app 1 star for the very good customer care,True
"After the update, why there is no cash on delivery option there...",True
always late delivery,True
Can't do registration. No matter what password I give by following the requirements it doesn't accept it.,True
worst of all,True
just wow,True
"not a good foodie super service, you should lower the super service price i mean if you want to compare foodpanda gives a year subscription for 600 where you will get 5-15% pro discount and unlimited free delivery but here you are taking 1000 TK but no offer no discounts just 10 food delivery free, and who knows what's the flower service and dine in service will open, i never saw any restaurant in there dine in section",True
very bad,True
"The rider most of the time picks multiple orders and delivers in several different places. My food in two different ocassions have taken me more than 1.5 hours. The food by then has lost its taste and seeps through the paper container. In one ocassion, after almost 2 hours the rider said that this wasn't his order initially but was just posted to him few minutes ago. Horrible strategy, dealing with food very carelessly",True
"Frustrating & Broken App! This app is a complete mess. Basic features like updating my address or applying vouchers simply don’t work. The app crashes constantly, and even when it does function, the experience is anything but seamless. What’s worse is the lack of reliability; if I can’t even trust the app to process simple changes, how can I trust it with my orders? Save yourself from the headache and look elsewhere until they fix this broken system.",True
Takes way too long to deliver foods.. My last few orders all took over an hour to arrive... I was so stupid to pay it in advancevia bKash; thus it left me unable to cancel the orders.. Never ever using this app again in my life,True
"Location tracking is worst than i taught😂 After a order delivery man always call me 2-3 times and disturbed me for not finding Location and get lost.And if the order is not good,they wants to take the order from me and give me another order,what a chip minded business😂 foodpanda is far better",True
Interface is so good. Just love it!!,True
outstanding service,True
Best customer service Proper time maintain delivery,True
Delivery was so fast and App is easy to use.,True
worst app!! take too much time to deliver food.,True
it shows no restaurant in my zone! can you imagine living in gulshan and having no restaurant msg? and when i contacted them and said I've ordered before. they told me they'll fix it but thn no response. it's not a good sign guys. at least do something better on software,True
The app has way too many bugs and just does not work some times. The order always order late. Just now I ordered some food which showed it would take 18 to 24 min. but I received it after 50 min. This time is never accurate. very bad experience.,True
you are very late,True
always used to order through foodie because of their affordable pricing and delivery charge.But sadly now it has the highest delivery charge comparative to all food delivery apps and they include vat too which stopped me to use foodie anymore.They should solve this problem and make this app affordable like before,True
worst help center ever. should get banned for such behaviour,True
"Even as I am writing this review, I am still waiting for my order I placed 2 hours ago. Horrible service. I know they show a bit more discount than the other food apps but trust me, waiting 2 hours is not worth it for any discount. Update: They never delivered the food. cancelled it after 2 hours of waiting. They took no responsibility about it for days when I contacted them. They think that customers are beggars and coupon of 100 taka (not all restaurants) would make everything straight.",True
"Super easy to use, fast delivery, and great food options. Everything runs smoothly, and I live how user- friendly the interface is. Highly recommended for all food lovers 🍽️🍔🍗🍟🍕🌭🥪🌮",True
"This app is a total disaster. 🚫 Always late — food arrives cold or not at all. 🐛 Full of glitches — app crashes, order tracking doesn’t work, payment fails randomly. 🎟️ They send voucher codes as compensation, but guess what? They don’t work, even when all conditions are met. Total waste of time, money, and patience. Deleted the app and never looking back. Not recommended at all.",True
this app is a trap. Doesn't even help you a bare minimum. loots ur money. foodpanda is much better,True
I was ordering some food but it was sold out so that cancelled order but my payment not refund 😭,True
One of the best.,True
i ordered and received my food after 2 hours. this is insanity. Don't use this app at alll ughhh wasted my time and lost my appetite,True
"this app doesn’t support any password i give, no matter how strong the password is.. couldn’t sign up even after trying for so many times",True
"You guys are always late to deliver the food. If it says esteemed time 30 min than it take more than 1 hour,even when the restaurant is nearby. Other apps deliver from the same place but within in half of the time you guys take. Very bad delivery system.",True
App is good. but delivery timing is quite slow. Estimate delivery time dosn't show accuracy. It's really frustrating,True
one of the worst app,True
Incredible service.,True
Excellent service! Everything was smooth and professional—highly recommend! Fast & Reliable! Food arrived hot and on time. Great service and easy-to-use app. Highly recommended,True
"I’ve been a loyal user of Foodi, an online food delivery app, and I must say, their service is truly exceptional. I order food from them almost all the time, and they never fail to impress me. Their delivery is incredibly fast, even during storms or heavy rain! Kudos to their dedication and top-notch service. Highly recommend Foodi to anyone looking for quick and reliable food delivery! 🌟🍴🚴‍♂️",True
Simply Best,True
fast delivery,True
"As a new platform, Foodi growing up beautifully, Superb service",True
It's the best app I've ever seen,True
delivery service so poor .,True
It took 1 hour and 24 minutes to deliver the food I ordered on Foodi. Very poor service.,True
This app is good but food delivery is slow.,True
good,True
worst service ever. food panda is far better then this.,True
"jotobar location set korte Jai toto bar bole ""we're not available in your area"" why!???",True
Initially it was bit good but day by day the service degraded and now it's the worst food delivery service because of both poor service & bad offers. placed order at 10:45 at night and they informed me at 11:36 that restaurant is closed. I couldn't order at any other place too as it was too late,True
"They suddenly increased the delivery price and it is way higher than before. restaurants that used to charge 25 tk dc, now asking 55-60 taka, which is ridiculous. Who's gonna pay such a huge amount for a restaurant that is only a few minutes away!",True
I contacted support and experience was bad.,True
