content,is_english
"It’s working better with occasional glitches, example sending my order far away from my location...",True
Lot of bugs. Can't save my address. Please fix.,True
Check out is disturbing. Even I couldn't pay through online last evening. Didn't try after that though.,True
Worst app I have ever seen. Not working just they try to promote their apps. Whenever I try to order it show their outlet.,True
Something is new for me !,True
Still need more improvement,True
Good,True
Worst app and very small delivery range,True
No free chicken fry without 500tk minimum purchase. All fake. Ban KFC. FU.,True
Worst experience! Checkout button doesn't work!,True
Delivery option doesn't work in the app,True
Excellent,True
Nice,True
Won't let me select the outlet near me and when I select another outlet it doesn't let me checkout. The app is full of bugs and is unresponsive at times. Please fix this.,True
horrible app the app did not sing up an account,True
The sign up option is the worst. There is no possible way of clearing the verification code in case of wrong input. Now they are not accepting my number.,True
Horrible app! The interface is terrible. Needs a lot of work. Service in bashundhara is horrible too. Took over 1.5 hours to receive my order.,True
Rubbish app and rubbish customer service!,True
Couldn't see any texts in my S22 Ultra. Contact me if you need better app suppor. ORANGE IT for United Group,True
It confused me. Didn't like it,True
Delivery charge is outrageous and funny. How the delivery charge of 0.50km / half km is 60 BDT?,True
I can't find where i can use coupon.,True
Third class food,True
This is probably one of the worst food delivery app. They don't make the accurate product delivery. I had a promo code which they supposed to deliver but I didn't get it. Furthermore there is no way to communicate them. The contact button doesn't work and no one picks the phone number they listed on the site.,True
Good,True
"Why they don't deliver in my area?@Cancer Staff Quarter,Mohakhali,Dhaka",True
Just awesome 😎,True
Worst service. Took more than 2 hours to deliver my order. Very unfortunate,True
Very bad service and tremendous delay of delivery,True
App is buggy It keeps telling me to give address even tho I entered my address correctly Please fix this issue Then again I kept pressing checkout it just won't work,True
Garbage app. Took me half an hour to get the OTP to work bcz their App is buggy af. Their delivery charge is more expensive than foodpanda and pathao with almost no chance for a discount. Then they market 2 piece free chicken but you have to buy min 500 tk. What a bunch of clowns 🤡,True
Can’t pass checkout lots of bugs please fix this,True
"If you fix the bugs in the app and do some SQA I think the app will be very helpful. Please be informed that when selecting an item the cross-sale product menu does not show to item text, only the qnt element is showing. I had this problem on Android. Please fix it.",True
I can't find code option 😭,True
Good,True
Just excellent,True
I think you hava a bug in OTP page. Try to fix that for better user experience.,True
It should be bit more easy as like Foodpanda,True
Ok,True
Good,True
The wari KFC outlet is only 20 minutes walk from my place yet they don't deliver it here. So can't really see the appeal of the app if I can't use it.,True
good service,True
so good,True
"I'll have two number 9s, a number 9 large, a number 6 with extra dip, a number 7, two number 45s, one with cheese, and a large soda. -BIG SMOKE",True
Very nice,True
Very nice,True
Nice,True
